household_key,fsv_cmsi_flag,fsv_credit_card_flag,fsv_id_theft_flag,number_of_children,length_of_residence,do_not_direct_mail_solicit,email_available,ers_ent_count_year_1,ers_ent_count_year_2,ers_ent_count_year_3,ers_member_cost_year_1,ers_member_cost_year_2,ers_member_cost_year_3,member_tenure_years,months_from_join_to_cancel,basic_cost,calculated_tow_miles,is_nsr,plus_cost,total_cost,tow_destination_latitude,tow_destination_longitude,was_duplicated,was_towed_to_aar_referral,kcl_b_ind_mosaicsgrouping_Autumn Years,kcl_b_ind_mosaicsgrouping_Booming with Confidence,kcl_b_ind_mosaicsgrouping_Cultural Connections,kcl_b_ind_mosaicsgrouping_Family Union,kcl_b_ind_mosaicsgrouping_Flourishing Families,kcl_b_ind_mosaicsgrouping_Power Elite,kcl_b_ind_mosaicsgrouping_Singles and Starters,kcl_b_ind_mosaicsgrouping_Surburban Style,kcl_b_ind_mosaicsgrouping_Thriving Boomers,kcl_b_ind_mosaicsgrouping_Young City Solos
875.0,0,1,0,,,0.0,0.3333333333333333,0.7857142857142857,0.42857142857142855,0.7142857142857143,46.23928571428572,25.22142857142857,88.95214285714285,28.944444444444443,157.75,49.371428571428574,8.014285714285714,0.07142857142857142,26.571428571428573,75.94285714285715,20.5,-35.5,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0
969.0,0,0,0,0.0,14.0,0.0,0.8333333333333334,0.0,0.6666666666666666,1.5,0.0,58.80833333333334,150.595,35.333333333333336,,43.775,2.25,0.0,12.75,56.525,31.46635,-53.382864999999995,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3338.0,0,0,0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.333333333333336,312.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8718.0,0,0,0,0.0,15.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11524.0,0,0,0,1.1428571428571428,12.142857142857142,0.0,0.8571428571428571,0.3333333333333333,2.1666666666666665,1.0,19.616666666666667,122.05833333333335,53.0,36.285714285714285,112.0,58.85,1.2,0.0,0.0,58.85,20.88045,-35.72138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13422.0,0,0,0,0.0,15.0,0.0,0.5,0.25,0.0,0.0,14.7125,0.0,0.0,33.0,,39.61666666666667,0.0,0.0,0.0,39.61666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19747.0,0,0,0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20469.0,1,0,0,0.0,15.0,0.0,0.0,3.6923076923076925,0.9230769230769231,0.9230769230769231,217.29230769230773,54.32307692307693,48.92307692307692,29.23076923076923,63.0,44.770833333333336,1.6666666666666667,0.08333333333333333,0.0,44.770833333333336,15.579417500000002,-26.731360000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20850.0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,475.0,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25365.0,0,0,0,2.0,2.0,0.0,0.2,,,,,,,35.4,281.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30007.0,0,0,0,1.0,11.666666666666666,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,11.333333333333334,0.0,24.25,339.0,34.0,0.0,0.0,0.0,34.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0
37468.0,0,0,0,,,1.0,0.0,,,,,,,47.0,480.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38093.0,1,0,1,0.625,2.125,0.0,0.6666666666666666,0.0,1.6363636363636365,0.45454545454545453,0.0,65.97727272727273,30.84090909090909,32.25,107.0,46.785000000000004,2.1,0.0,0.0,55.585,5.25,-8.875,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0
